id,hours,L,a,b,E
0,0,0,15.65,8.93,-10.85
1,0,30,19.0,8.38,-7.56
2,0,60,18.53,8.37,-7.61
3,0,90,15.030000000000001,8.049999999999999,-8.350000000000001
4,0,120,11.530000000000001,7.729999999999999,-9.09
5,0,150,8.030000000000001,7.409999999999998,-9.830000000000002
6,0,180,4.530000000000001,7.089999999999998,-10.57
7,0,210,1.0300000000000011,6.769999999999998,-11.310000000000002
8,0,240,-2.469999999999999,6.4499999999999975,-12.05
9,0,270,-5.969999999999999,6.129999999999997,-12.790000000000003
10,0,300,-9.469999999999999,5.809999999999997,-13.530000000000001
11,0,330,-12.969999999999999,5.489999999999997,-14.270000000000003
12,0,360,-16.47,5.169999999999996,-15.010000000000002
13,0,390,-19.97,4.849999999999996,-15.750000000000002
14,0,420,-23.47,4.529999999999996,-16.490000000000002
15,0,450,-26.97,4.2099999999999955,-17.230000000000004
16,0,480,-30.47,3.8899999999999952,-17.970000000000002
17,0,510,-33.97,3.569999999999995,-18.71
18,0,540,-37.47,3.2499999999999947,-19.450000000000003
19,0,570,-40.97,2.9299999999999944,-20.190000000000005
0,1,0,43.24,36.4,2.56
1,1,30,46.15,30.89,2.74
2,1,60,47.87,27.91,4.14
3,1,90,48.51,26.150000000000002,5.519999999999999
4,1,120,49.15,24.390000000000004,6.899999999999998
5,1,150,49.79,22.630000000000006,8.279999999999998
6,1,180,50.43,20.870000000000008,9.659999999999997
7,1,210,51.07,19.11000000000001,11.039999999999996
8,1,240,51.71,17.350000000000012,12.419999999999995
9,1,270,52.35,15.590000000000014,13.799999999999994
10,1,300,52.99,13.830000000000016,15.179999999999993
11,1,330,53.63,12.070000000000018,16.55999999999999
12,1,360,54.27,10.31000000000002,17.93999999999999
13,1,390,54.910000000000004,8.550000000000022,19.31999999999999
14,1,420,55.550000000000004,6.790000000000024,20.699999999999985
15,1,450,56.190000000000005,5.030000000000026,22.079999999999984
16,1,480,56.830000000000005,3.270000000000028,23.459999999999983
17,1,510,57.470000000000006,1.51000000000003,24.839999999999982
18,1,540,58.11000000000001,-0.24999999999996803,26.21999999999998
19,1,570,58.75000000000001,-2.009999999999966,27.59999999999998
0,2,0,35.53,-13.92,11.03
1,2,30,36.84,-9.52,11.32
2,2,60,37.62,-7.38,11.35
3,2,90,37.819999999999986,-5.560000000000001,10.109999999999998
4,2,120,38.019999999999975,-3.740000000000003,8.869999999999996
5,2,150,38.21999999999996,-1.9200000000000044,7.629999999999994
6,2,180,38.41999999999995,-0.10000000000000497,6.389999999999992
7,2,210,38.61999999999994,1.7199999999999935,5.149999999999989
8,2,240,38.81999999999993,3.539999999999992,3.9099999999999877
9,2,270,39.01999999999992,5.3599999999999905,2.6699999999999857
10,2,300,39.21999999999991,7.179999999999989,1.4299999999999837
11,2,330,39.419999999999895,8.999999999999986,0.18999999999998174
12,2,360,39.619999999999884,10.819999999999986,-1.0500000000000203
13,2,390,39.81999999999987,12.639999999999983,-2.290000000000024
14,2,420,40.01999999999986,14.459999999999983,-3.530000000000026
15,2,450,40.21999999999985,16.27999999999998,-4.770000000000026
16,2,480,40.41999999999984,18.09999999999998,-6.010000000000028
17,2,510,40.61999999999983,19.919999999999977,-7.25000000000003
18,2,540,40.819999999999816,21.739999999999977,-8.490000000000032
19,2,570,41.019999999999804,23.559999999999977,-9.730000000000034
0,3,0,29.01,35.48,2.79
1,3,30,30.64,32.85,3.09
2,3,60,31.06,31.41,3.48
3,3,90,30.759999999999994,29.930000000000003,4.140000000000001
4,3,120,30.45999999999999,28.450000000000006,4.800000000000001
5,3,150,30.159999999999986,26.97000000000001,5.460000000000001
6,3,180,29.85999999999998,25.490000000000013,6.120000000000001
7,3,210,29.559999999999977,24.010000000000016,6.780000000000001
8,3,240,29.259999999999973,22.53000000000002,7.440000000000001
9,3,270,28.95999999999997,21.050000000000022,8.100000000000001
10,3,300,28.659999999999965,19.570000000000025,8.760000000000002
11,3,330,28.35999999999996,18.09000000000003,9.420000000000002
12,3,360,28.059999999999956,16.61000000000003,10.080000000000002
13,3,390,27.759999999999952,15.130000000000035,10.740000000000002
14,3,420,27.459999999999948,13.650000000000038,11.400000000000002
15,3,450,27.159999999999943,12.17000000000004,12.060000000000002
16,3,480,26.85999999999994,10.690000000000044,12.720000000000002
17,3,510,26.559999999999935,9.210000000000047,13.380000000000003
18,3,540,26.25999999999993,7.73000000000005,14.040000000000003
19,3,570,25.959999999999926,6.250000000000053,14.700000000000003
0,4,0,13.63,9.07,-4.12
1,4,30,14.49,9.61,-3.8
2,4,60,14.44,9.97,-3.54
3,4,90,12.899999999999997,9.31,-3.38
4,4,120,11.359999999999994,8.65,-3.2199999999999998
5,4,150,9.819999999999991,7.99,-3.0599999999999996
6,4,180,8.279999999999989,7.33,-2.8999999999999995
7,4,210,6.739999999999986,6.67,-2.7399999999999993
8,4,240,5.199999999999983,6.01,-2.579999999999999
9,4,270,3.6599999999999806,5.35,-2.419999999999999
10,4,300,2.119999999999978,4.6899999999999995,-2.259999999999999
11,4,330,0.5799999999999752,4.029999999999999,-2.0999999999999988
12,4,360,-0.9600000000000293,3.369999999999999,-1.9399999999999986
13,4,390,-2.500000000000032,2.709999999999999,-1.7799999999999985
14,4,420,-4.040000000000035,2.049999999999999,-1.6199999999999983
15,4,450,-5.580000000000037,1.3899999999999988,-1.4599999999999982
16,4,480,-7.12000000000004,0.7299999999999986,-1.299999999999998
17,4,510,-8.660000000000043,0.06999999999999851,-1.139999999999998
18,4,540,-10.200000000000045,-0.5900000000000016,-0.9799999999999978
19,4,570,-11.740000000000048,-1.2500000000000018,-0.8199999999999976
0,5,0,38.02,40.78,22.67
1,5,30,40.51,39.91,22.26
2,5,60,41.12,40.11,22.24
3,5,90,40.73999999999999,39.870000000000005,21.999999999999996
4,5,120,40.35999999999998,39.63000000000001,21.759999999999994
5,5,150,39.97999999999997,39.390000000000015,21.519999999999992
6,5,180,39.59999999999996,39.15000000000002,21.27999999999999
7,5,210,39.21999999999995,38.910000000000025,21.03999999999999
8,5,240,38.83999999999994,38.67000000000003,20.799999999999986
9,5,270,38.45999999999993,38.430000000000035,20.559999999999985
10,5,300,38.07999999999992,38.19000000000004,20.319999999999983
11,5,330,37.69999999999991,37.950000000000045,20.07999999999998
12,5,360,37.3199999999999,37.71000000000005,19.83999999999998
13,5,390,36.93999999999989,37.470000000000056,19.599999999999977
14,5,420,36.55999999999988,37.23000000000006,19.359999999999975
